"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6656,"; _ZN12_GLOBAL__N_117gemm_naive_kernelEPKfS1_Pf",0,0,0,0,"(anonymous namespace)::gemm_naive_kernel(float const*, float const*, float*)"
2,6656,"s_load_b32 s2, s[0:1], 0x24",514,526,12,40043,""
2,6664,"v_bfe_u32 v1, v0, 10, 10",514,160138,159624,47,""
2,6672,"v_and_b32_e32 v4, 0x3ff, v0",514,514,0,27613,""
2,6680,"s_waitcnt lgkmcnt(0)",514,47670,47156,0,""
2,6684,"s_lshr_b32 s3, s2, 16",514,554,40,0,""
2,6688,"s_and_b32 s2, s2, 0xffff",514,514,0,35,""
2,6696,"v_mad_u64_u32 v[2:3], null, s15, s3, v[1:2]",514,2056,0,129525,""
2,6704,"v_mad_u64_u32 v[0:1], null, s14, s2, v[4:5]",514,2056,0,78013,""
2,6712,"s_mov_b32 s2, exec_lo",514,537,23,9288,""
2,6716,"v_max_i32_e32 v1, v2, v0",514,514,0,126720,""
2,6720,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,6724,"v_cmpx_gt_i32_e32 0x400, v1",514,514,0,76963,""
2,6732,"s_cbranch_execz 159",514,514,0,9229,""
2,6736,"s_load_b128 s[4:7], s[0:1], null",514,527,13,1028,""
2,6744,"v_dual_mov_b32 v4, 0 :: v_dual_lshlrev_b32 v1, 10, v2",514,156127,155613,0,""
2,6752,"s_load_b64 s[0:1], s[0:1], 0x10",514,668,154,0,""
2,6760,"s_mov_b32 s2, 0",514,521,7,74,""
2,6764,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6768,"v_ashrrev_i32_e32 v2, 31, v1",514,514,0,136426,""
2,6772,"v_lshlrev_b64 v[2:3], 2, v[1:2]",514,1028,0,107607,""
2,6780,"s_waitcnt lgkmcnt(0)",514,2474,1960,0,""
2,6784,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6788,"v_add_co_u32 v2, vcc_lo, s4, v2",514,514,0,139062,""
2,6796,"v_add_co_ci_u32_e64 v3, null, s5, v3, vcc_lo",514,104633,104119,2312,""
2,6804,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6808,"v_add_co_u32 v2, vcc_lo, v2, 28",514,514,0,46976,""
2,6816,"v_add_co_ci_u32_e64 v3, null, 0, v3, vcc_lo",514,514,0,107220,""
2,6824,"s_clause 0x1",65792,1984975,1919183,0,""
2,6828,"global_load_b128 v[5:8], v[2:3], off offset:-12",65792,137692,6108,21458,""
2,6836,"global_load_b128 v[9:12], v[2:3], off offset:-28",65792,131584,0,169,""
2,6844,"v_add_nc_u32_e32 v13, s2, v0",65792,65792,0,1913813,""
2,6848,"s_addk_i32 s2, 0x2000",65792,65792,0,409054,""
2,6852,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6856,"s_cmp_eq_u32 s2, 0x100000",65792,66021,229,65792,""
2,6864,"v_ashrrev_i32_e32 v14, 31, v13",65792,953970,888178,0,""
2,6868,"v_add_nc_u32_e32 v15, 0x400, v13",65792,236015,170223,0,""
2,6876,"v_add_nc_u32_e32 v17, 0x800, v13",65792,241109,175317,0,""
2,6884,"v_add_nc_u32_e32 v19, 0xc00, v13",65792,259218,193426,0,""
2,6892,"v_add_nc_u32_e32 v21, 0x1000, v13",65792,264328,198536,0,""
2,6900,"v_add_nc_u32_e32 v23, 0x1400, v13",65792,266521,200729,3,""
2,6908,"v_add_nc_u32_e32 v25, 0x1800, v13",65792,247654,181862,76,""
2,6916,"v_add_nc_u32_e32 v27, 0x1c00, v13",65792,251541,185749,34,""
2,6924,"v_lshlrev_b64 v[13:14], 2, v[13:14]",65792,316211,184627,11755,""
2,6932,"v_ashrrev_i32_e32 v16, 31, v15",65792,412257,346465,0,""
2,6936,"v_ashrrev_i32_e32 v18, 31, v17",65792,235282,169490,0,""
2,6940,"v_ashrrev_i32_e32 v20, 31, v19",65792,244137,178345,0,""
2,6944,"v_ashrrev_i32_e32 v22, 31, v21",65792,241809,176017,0,""
2,6948,"v_ashrrev_i32_e32 v24, 31, v23",65792,259202,193410,0,""
2,6952,"v_add_co_u32 v13, vcc_lo, s6, v13",65792,252130,186338,0,""
2,6960,"v_lshlrev_b64 v[15:16], 2, v[15:16]",65792,325450,193866,11073,""
2,6968,"v_add_co_ci_u32_e64 v14, null, s7, v14, vcc_lo",65792,434873,369081,0,""
2,6976,"v_lshlrev_b64 v[17:18], 2, v[17:18]",65792,308267,176683,2271,""
2,6984,"v_lshlrev_b64 v[19:20], 2, v[19:20]",65792,485018,353434,3525,""
2,6992,"v_lshlrev_b64 v[21:22], 2, v[21:22]",65792,131584,0,334629,""
2,7000,"global_load_b32 v29, v[13:14], off",65792,131584,0,1132445,""
2,7008,"v_add_co_u32 v13, vcc_lo, s6, v15",65792,65792,0,1392783,""
2,7016,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
2,7020,"v_add_co_ci_u32_e64 v14, null, s7, v16, vcc_lo",65792,580206,514414,279480,""
2,7028,"v_add_co_u32 v15, vcc_lo, s6, v17",65792,65792,0,203190,""
2,7036,"v_add_co_ci_u32_e64 v16, null, s7, v18, vcc_lo",65792,65792,0,792722,""
